business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days
U001,0200769623,WAL-MAR co,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.833731484172468,NAH4,12,30,6,15
U001,0200726979,BJ'S  llc,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.392966574712216,NAA8,12,30,6,15
U001,0200706844,WINC systems,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,10.96200501279017,NAA8,12,30,6,15
U001,0200769623,WAL-MAR associates,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.495354452651254,NAH4,12,30,6,15
U001,0200726979,BJ'S  foundation,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.080583646972063,NAA8,12,30,6,15
U001,0200769623,WAL-MAR corp,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.320470027522152,NAH4,12,30,6,15
U001,0200769623,WAL-MAR corporation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.95290036343515,NAH4,12,30,6,15
U001,0200794332,COST foundation,2019-01-23,2019.0,2019-01-14,1.0,2018-12-30,NAAX,1,8.99250644960077,NAAX,12,30,6,15
U001,0200726979,BJ'S  corp,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.080583646972063,NAA8,12,30,6,15
U001,0200769623,WAL-MAR in,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,11.18695416006895,NAH4,12,30,6,15
U001,0200772670,ASSOCIAT in,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAU5,0,4.991452474679482,NAU5,12,30,6,15
U013,0140103335,PARAM corp,2019-01-23,2019.0,2019-01-29,1.0,2018-12-30,NAVE,0,9.529633750492161,NAVE,12,30,6,30
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.399969249437852,NAH4,12,30,6,15
U001,0200748108,KROGER systems,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,9.793307106319762,NAA8,12,30,6,15
U001,0200769623,WAL-MAR systems,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.641645143941725,NAH4,12,30,6,15
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.739512035086507,NAH4,12,30,6,15
U001,0200769623,WAL-MAR us,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.750273853527705,NAH4,12,31,0,15
U001,0200769623,WAL-MAR in,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.753861620580286,NAH4,12,31,0,15
U001,0200769623,WAL-MAR foundation,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.93126491703664,NAH4,12,31,0,15
U001,0200900909,SYSCO associates,2019-01-18,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,9.516480786224191,NAA8,12,31,0,15
U001,0200769623,WAL-MAR trust,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,11.104115970631675,NAH4,12,31,0,15
