business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target_old,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days,business_days_late,target,due_weekend_flag,business_day_gap,amount_bin,cust_allowed_pay_days_late_rate_past,ratio_paid_invoices_late_past,avg_days_late_paid_late_past,sum_outstanding_amount_past,recent_5_late_rate
U001,0200769623,WAL-MAR corp,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.014194948120286,NAH4,12,31,0,15,-2,0,0,0,2,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200771157,WEIS associates,2019-01-16,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,11.407163424267566,NAA8,12,31,0,15,1,0,0,0,3,0.0,0.0,0.0,11.270796832078249,0.0
U001,0200769623,WAL-MAR us,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.956640566572602,NAH4,12,31,0,15,-3,0,0,0,2,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200148860,DOLLA trust,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,11.054026351734793,NAA8,12,31,0,15,0,0,0,0,3,0.0,0.0,0.0,9.770442327427311,0.0
U001,0200769623,WAL-MAR corp,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.566304640986957,NAH4,12,31,0,15,-3,0,0,0,2,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200900909,SYSCO systems,2019-01-17,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,6.818038427312331,NAA8,12,31,0,15,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200337148,COAS llc,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,9.241641345076786,NAA8,12,31,0,15,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR foundation,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.663603406116549,NAH4,12,31,0,15,-3,0,0,0,1,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200915438,GROC systems,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,9.977678556956862,NAA8,12,31,0,15,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200752393,S AB systems,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,10.93815172352202,NAA8,12,31,0,15,-3,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200794332,COST corporation,2019-01-16,2019.0,2019-01-15,1.0,2018-12-31,NAAX,1,8.99250644960077,NAAX,12,31,0,15,1,0,0,0,1,0.0,0.0,0.0,19.84134807372548,0.0
